ledger_type,fiscal_year,description,account_descr,revenue_category,actual_amount,program_descr,fund_type,fund_descr
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,18421.66,In-Service Training,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Teacher's Certificate Licenses,Licenses Permits and Fees,3776471,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,90524.54,Refugee Preventive Health,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,235000,Geospatial Info Sys DOT,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,181383.97,Asbestos TSCA/OCM Prog Grant,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Other Rents - Miscellaneous,Rents Fines and Escheats,141627.43,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2013,Other Revenue,Other Fees-Miscellaneous,Licenses Permits and Fees,6102016.76,Ag Sustainability Account-Dair,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2776355.51,BIP APD,Special Revenue,Special Revenue
Revenue,2012,Other Revenue,Comm Lic-Lobster Pots/Trawls,Licenses Permits and Fees,74705,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Fees-Reg of Securities-Gen,Licenses Permits and Fees,-300,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,20250,Chld/Yth w Spec HlthCare Needs,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,351988.72,Child Abuse & Neglect Part 1,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,-19997.16,CT Lifespan Respite,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Fees-Federal Clean Air Act,Licenses Permits and Fees,7348674.32,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Fees-Vault/Crypt Plan Review,Licenses Permits and Fees,2500,Revenue Deposits,General,General
Revenue,2015,Other Source,Operating Transfers Out,Other Transfers,-4059.24,Special Pledged Account,Special Revenue,Special Revenue
Revenue,2015,Other Source,Operating Transfers In,Other Transfers,3152197.27,Conversion Value,Enterprise,Enterprise
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,1362746.15,Consumer Protection Case Acct,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,37293,Domstc Viol Sanc 14VWJUDSANCTI,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Fees-Insurance Application,Licenses Permits and Fees,2995437,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Licenses-Weighing Devices,Licenses Permits and Fees,56440,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Other Fees-App/Exam/Qual,Licenses Permits and Fees,119.5,Childrens Trust Fund,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,124722,Comm-National & Community Srvc,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,6000,Honey Bee/Farm Bill,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,96825.48,SPC BOS-United Svc PRA:BrkRw,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Civil Penalty-Imposed-Agency,Rents Fines and Escheats,2207810.93,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,1000,Teen Driving Grant,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,1500000,Municipal Video Competition Tr,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,12018.2,Lord Cove Coastal Forest,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Non-Federal Aid Restricted,Non General Fund Revenue,19870,Activity Fund,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Permits to Carry Pistols,Licenses Permits and Fees,3572900,Revenue Deposits,General,General
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,394489.38,State Energy Program,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,66804,Help America Vote Act Grant,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1600,Egg Inspection & Grading,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Late Fee-Election/FinDisclosur,Rents Fines and Escheats,24352,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,607304,Consolidated Forestry Programs,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,1094407.87,Food Stamp Emplymnt & Training,Special Revenue,Special Revenue
Revenue,2014,Other Revenue,Refunds of Health Ins. Ineligi,Licenses Permits and Fees,-465.45,Revenue Deposits,Transportation,Special Revenue
Revenue,2012,Other Revenue,Comm Assc Mngr-Real Estate Lic,Licenses Permits and Fees,69360,Revenue Deposits,General,General
Revenue,2014,Other Revenue,Health Club Licenses,Licenses Permits and Fees,200891.05,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,355643.26,Crime Victim Assistance FFY13,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,117689.1,METHAMPHETAMINE  INITIATIVE,Special Revenue,Special Revenue
Revenue,2013,Other Revenue,Medical Discount Plan Licensi,Licenses Permits and Fees,11475,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Other Fees-Insp Srvcs-General,Licenses Permits and Fees,150,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2014,Other Revenue,Broker/Salesmen Fees-General,Licenses Permits and Fees,20436285,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Fees-Filing-Limited Branch,Licenses Permits and Fees,7000,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2014,Other Revenue,Inter/Intrastate Carrier Lic,Licenses Permits and Fees,2064502,Revenue Deposits,Transportation,Special Revenue
Revenue,2013,Other Revenue,Federal Aid Restricted,Non General Fund Revenue,73051.49,SSBG Community Basd Non-Res,Special Revenue,Special Revenue
